Title,Date
"The Chosen One: Season 1: The Arrival","21/08/23"
"Kleo: Season 1: Big Eden","19/08/23"
"DEPP V HEARD: Limited Series: The Viral Verdict","19/08/23"
"DEPP V HEARD: Limited Series: Breaking the Internet","19/08/23"
"DEPP V HEARD: Limited Series: Truth on Trial","19/08/23"
"Fisk: Season 1: Episode 6","13/08/23"
"Fisk: Season 1: Episode 5","13/08/23"
"Fisk: Season 1: Episode 4","13/08/23"
"Pine Gap: Season 1: Episode 1","12/08/23"
"Fisk: Season 1: Episode 3","12/08/23"
"Fisk: Season 1: Episode 2","12/08/23"
"Fisk: Season 1: Episode 1","12/08/23"
"Captain Fall: Part 1: The Hornet’s Nest","11/08/23"
"Captain Fall: Part 1: Family Reunion","11/08/23"
"Captain Fall: Part 1: Sweet Sixteen","10/08/23"
"Captain Fall: Part 1: Cultural Exchange","10/08/23"
"Captain Fall: Part 1: Face Off","10/08/23"
"Captain Fall: Part 1: Je Suis Tanner","10/08/23"
"Captain Fall: Part 1: Boner Medicine","10/08/23"
"Captain Fall: Part 1: The Human Zoo","10/08/23"
"Captain Fall: Part 1: Baptized in Blood","10/08/23"
"Captain Fall: Part 1: An Unconventional Cruise Line","10/08/23"
"Cyberpunk: Edgerunners: Season 1: Lucky You","04/08/23"
"Cyberpunk: Edgerunners: Season 1: Smooth Criminal","03/08/23"
"Cyberpunk: Edgerunners: Season 1: Like A Boy","03/08/23"
"Cowboy Bebop: Season 1: Asteroid Blues","03/08/23"
"Dirk Gently's Holistic Detective Agency: Season 2: That Is Not Miami","03/08/23"
"Dirk Gently's Holistic Detective Agency: Season 2: Girl Power","03/08/23"
"Transformers: The Last Knight","31/07/23"
"Messiah: Season 1: He That Hath an Ear","30/07/23"
"Dirk Gently's Holistic Detective Agency: Season 2: Shapes and Colors","30/07/23"
"Dirk Gently's Holistic Detective Agency: Season 2: The House Within the House","30/07/23"
"Dirk Gently's Holistic Detective Agency: Season 2: Two Broken Fingers","29/07/23"
"Dirk Gently's Holistic Detective Agency: Season 2: Fans of Wet Circles","29/07/23"
"Dirk Gently's Holistic Detective Agency: Season 1: Rogue Wall Enthusiasts","28/07/23"
"Dirk Gently's Holistic Detective Agency: Season 1: Lost & Found","28/07/23"
"Dirk Gently's Holistic Detective Agency: Season 2: Space Rabbit","28/07/23"
"Dirk Gently's Holistic Detective Agency: Season 1: Two Sane Guys Doing Normal Things","28/07/23"
"Dirk Gently's Holistic Detective Agency: Season 1: Weaponized Soul","27/07/23"
"Dirk Gently's Holistic Detective Agency: Season 1: Fix Everything","27/07/23"
"Dirk Gently's Holistic Detective Agency: Season 1: Very Erectus","27/07/23"
"Dirk Gently's Holistic Detective Agency: Season 1: Watkin","27/07/23"
"Dirk Gently's Holistic Detective Agency: Season 1: Horizons","26/07/23"
"Narcos: Mexico: Season 1: Camelot","25/07/23"
"Black Mirror: Bandersnatch","21/07/23"
"The Witcher: Season 1: The End’s Beginning","20/07/23"
"House of Cards: Season 1: Chapter 1","19/07/23"
"Altered Carbon: Season 2: Phantom Lady","19/07/23"
"Altered Carbon: Season 1: The Killers","18/07/23"
"Altered Carbon: Season 1: Rage in Heaven","18/07/23"
"Altered Carbon: Season 1: Clash by Night","18/07/23"
"Altered Carbon: Season 1: Nora Inu","18/07/23"
"Altered Carbon: Season 1: Man with My Face","17/07/23"
"Altered Carbon: Season 1: The Wrong Man","17/07/23"
"Altered Carbon: Season 1: Force of Evil","17/07/23"
"Altered Carbon: Season 1: Fallen Angel","17/07/23"
"Altered Carbon: Season 1: Out of the Past","16/07/23"
"Ad Astra","16/07/23"
"Ex Machina","15/07/23"
"The Recruit: Season 1: I.N.A.S.I.A.L.","15/07/23"
"Stowaway","15/07/23"
"Extraction 2","14/07/23"
"The Night Agent: Season 1: Eyes Only","14/07/23"
"The Night Agent: Season 1: The Zookeeper","13/07/23"
"The Night Agent: Season 1: Redial","13/07/23"
"The Night Agent: Season 1: The Call","13/07/23"
"The Lincoln Lawyer: Season 1: He Rides Again","11/07/23"
"Narcos: Season 3: Going Back to Cali","13/06/23"
"Narcos: Season 3: Todos Los Hombres del Presidente","13/06/23"
"Narcos: Season 3: Convivir","12/06/23"
"Narcos: Season 3: Sin Salida","12/06/23"
"Narcos: Season 3: Best Laid Plans","11/06/23"
"Narcos: Season 3: MRO","11/06/23"
"Narcos: Season 3: Checkmate","10/06/23"
"Narcos: Season 3: Follow the Money","10/06/23"
"Narcos: Season 3: The Cali KGB","10/06/23"
"Narcos: Season 3: The Kingpin Strategy","09/06/23"
"Narcos: Season 2: Al Fin Cayó!","08/06/23"
"Narcos: Season 2: Nuestra Finca","08/06/23"
"Narcos: Season 2: Exit El Patrón","08/06/23"
"Narcos: Season 2: Deutschland 93","08/06/23"
"Narcos: Season 2: Los Pepes","07/06/23"
"Narcos: Season 2: The Enemies of My Enemy","07/06/23"
"Narcos: Season 2: The Good, The Bad, and The Dead","06/06/23"
"Narcos: Season 2: Our Man in Madrid","06/06/23"
"Narcos: Season 2: Cambalache","06/06/23"
"Narcos: Season 2: Free at Last","05/06/23"
"ANIMA","05/06/23"
"Narcos: Season 1: Despegue","05/06/23"
"Narcos: Season 1: La Catedral","04/06/23"
"Narcos: Season 1: La Gran Mentira","03/06/23"
"Narcos: Season 1: You Will Cry Tears of Blood","01/06/23"
"Narcos: Season 1: Explosivos","01/06/23"
"Narcos: Season 1: There Will Be a Future","01/06/23"
"Narcos: Season 1: The Palace in Flames","01/06/23"
"Narcos: Season 1: The Men of Always","01/06/23"
"Narcos: Season 1: The Sword of Simón Bolívar","31/05/23"
"Narcos: Season 1: Descenso","31/05/23"
"Spider-Man: Into the Spider-Verse","31/05/23"
"Brooklyn Nine-Nine: Season 1: The Vulture","25/03/23"
"Brooklyn Nine-Nine: Season 1: M.E. Time","24/03/23"
"Brooklyn Nine-Nine: Season 1: The Slump","24/03/23"
"Brooklyn Nine-Nine: Season 1: The Tagger","24/03/23"
"Brooklyn Nine-Nine: Season 1: Pilot","24/03/23"
"You: Season 4: She's Not There","23/03/23"
"","22/03/23"
"Cunk On Earth: Season 1: Faith/Off","22/03/23"
"Cunk On Earth: Season 1: In The Beginnings","22/03/23"
"You: Season 4: Where Are You Going, Where Have You Been?","22/03/23"
"You: Season 4: Good Man, Cruel World","20/03/23"
"You: Season 4: Best of Friends","20/03/23"
"You: Season 4: The Fox and the Hound","19/03/23"
"You: Season 4: Hampsie","19/03/23"
"You: Season 4: Eat the Rich","18/03/23"
"You: Season 4: Portrait of the Artist","18/03/23"
"You: Season 4: Joe Takes a Holiday","18/03/23"
"You: Season 3: What Is Love?","17/03/23"
"You: Season 3: Swing and a Miss","17/03/23"
"Cyberpunk: Edgerunners: Season 1: Let You Down","17/03/23"
"You: Season 3: We're All Mad Here","16/03/23"
"You: Season 3: W.O.M.B.","16/03/23"
"You: Season 3: Into the Woods","16/03/23"
"You: Season 3: Hands Across Madre Linda","16/03/23"
"You: Season 3: Missing White Woman Syndrome","15/03/23"
"You: Season 3: So I Married an Axe Murderer","15/03/23"
"You: Season 3: And They Lived Happily Ever After","15/03/23"
"New Amsterdam: Season 1: Pilot","15/03/23"
"You: Season 2: Love, Actually","15/03/23"
"You: Season 2: P.I. Joe","15/03/23"
"You: Season 2: Fear and Loathing in Beverly Hills","15/03/23"
"You: Season 2: Ex-istential Crisis","15/03/23"
"You: Season 2: Farewell, My Bunny","14/03/23"
"You: Season 2: Have a Good Wellkend, Joe!","14/03/23"
"You: Season 2: The Good, the Bad, & the Hendy","14/03/23"
"You: Season 2: What Are Friends For?","14/03/23"
"You: Season 2: Just the Tip","13/03/23"
"You: Season 2: A Fresh Start","13/03/23"
"You: Season 1: Bluebeard's Castle","13/03/23"
"You: Season 1: Candace","13/03/23"
"You: Season 1: You Got Me, Babe","12/03/23"
"You: Season 1: Everythingship","12/03/23"
"You: Season 1: Amour Fou","12/03/23"
"Kate","11/03/23"
"Sense8: Season 1: Limbic Resonance","10/03/23"
"Treason: Limited Series: Episode 1","09/03/23"
"Travelers: Season 1: Hall","09/03/23"
"The Bubble","07/03/23"
"Lost in Space: Season 1: Impact","06/03/23"
"Travelers: Season 1: Aleksander","05/03/23"
"Travelers: Season 1: Protocol 6","05/03/23"
"Travelers: Season 1: Pilot","05/03/23"
"Formula 1: Drive to Survive: Season 5: Matter of Principal","05/03/23"
"Ozark: Season 3: BFF","05/03/23"
"Formula 1: Drive to Survive: Season 5: Bounce Back","05/03/23"
"Suits: Season 2: Rewind","04/12/22"
"Suits: Season 2: Sucker Punch","04/12/22"
"Suits: Season 2: Discovery","03/12/22"
"Suits: Season 2: Meet the New Boss","03/12/22"
"Suits: Season 2: The Choice","03/12/22"
"Suits: Season 2: She Knows","03/12/22"
"Suits: Season 1: Dog Fight","03/12/22"
"Suits: Season 1: Rules of the Game","03/12/22"
"Suits: Season 1: The Shelf Life","03/12/22"
"Suits: Season 1: Undefeated","02/12/22"
"Suits: Season 1: Identity Crisis","02/12/22"
"Suits: Season 1: Play the Man","02/12/22"
"Suits: Season 1: Tricks of the Trade","02/12/22"
"Suits: Season 1: Bail Out","02/12/22"
"Suits: Season 1: Dirty Little Secrets","02/12/22"
"Suits: Season 1: Inside Track","02/12/22"
"Suits: Season 1: Errors and Omissions","02/12/22"
"Suits: Season 1: Pilot Part 1 & 2","02/12/22"
"Dark: Season 1: Secrets","01/12/22"
"Living with Yourself: Season 1: Green Tea","30/11/22"
"Living with Yourself: Season 1: Made in a Strip Mall","30/11/22"
"Living with Yourself: Season 1: The Best You Can Be","30/11/22"
"Warrior Nun: Season 2: Galatians 6:4-5","30/11/22"
"Snowden","30/11/22"
"Manifest: Season 1: Pilot","30/11/22"
"Downfall: The Case Against Boeing","30/11/22"
"Enola Holmes 2","30/11/22"
"The Social Network","30/11/22"
"Wednesday: Season 1: Wednesday's Child Is Full of Woe","29/11/22"
"Slumberland","29/11/22"
"Wednesday: Season 1: A Murder of Woes","29/11/22"
"Wednesday: Season 1: If You Don't Woe Me by Now","29/11/22"
"Wednesday: Season 1: Quid Pro Woe","29/11/22"
"Wednesday: Season 1: You Reap What You Woe","28/11/22"
"Wednesday: Season 1: Woe What a Night","28/11/22"
"Wednesday: Season 1: Friend or Woe","28/11/22"
"Wednesday: Season 1: Woe Is the Loneliest Number","28/11/22"
"Interstellar","28/11/22"
"The Swimmers","27/11/22"
"Bleach: Thousand-Year Blood War: Foundation Stones","25/11/22"
"Arcane: Season 1: Welcome to the Playground","25/11/22"
"Patriot Act with Hasan Minhaj: Volume 3: Why Your Internet Sucks","25/11/22"
"Uncharted","25/11/22"
"FIFA Uncovered: Limited Series: Episode 1","23/11/22"
"Ozark: Season 3: In Case of Emergency","22/11/22"
"Ozark: Season 3: Su Casa Es Mi Casa","21/11/22"
"Ozark: Season 3: It Came from Michoacán","20/11/22"
"Ozark: Season 3: Boss Fight","20/11/22"
"Inside Job: Part 1: The Brettfast Club","20/11/22"
"A Farewell to Ozark","19/11/22"
"Ozark: Season 3: Kevin Cronin Was Here","19/11/22"
"Ozark: Season 3: Civil Union","19/11/22"
"Jonas Brothers Family Roast","19/11/22"
"Inside Job: Part 1: Sex Machina","19/11/22"
"Inside Job: Part 1: Blue Bloods","18/11/22"
"Bleach: Thousand-Year Blood War: The Blood Warfare","18/11/22"
"The Office (U.S.): Season 1: Pilot","18/11/22"
"Middleditch & Schwartz: Limited Series: Parking Lot Wedding","18/11/22"
"Rick and Morty: Season 6: JuRicksic Mort","18/11/22"
"Inside Job: Part 1: Clone Gunman","17/11/22"
"Inside Job: Part 1: Unpresidented","17/11/22"
"Ozark: Season 3: Wartime","17/11/22"
"Ozark: Season 2: The Gold Coast","16/11/22"
"Ozark: Season 2: The Badger","15/11/22"
"Ozark: Season 2: The Big Sleep","15/11/22"
"Ozark: Season 2: One Way Out","14/11/22"
"Ozark: Season 2: Outer Darkness","13/11/22"
"Ozark: Season 2: Game Day","13/11/22"
"Ozark: Season 2: Stag","13/11/22"
"Ozark: Season 2: Once a Langmore...","12/11/22"
"Ozark: Season 2: The Precious Blood of Jesus","12/11/22"
"Ozark: Season 2: Reparations","11/11/22"
"Ozark: Season 1: The Toll","10/11/22"
"Ozark: Season 1: Coffee, Black","10/11/22"
"Ozark: Season 1: Kaleidoscope","10/11/22"
"Ozark: Season 1: Nest Box","10/11/22"
"Bill Burr: Live at Red Rocks","09/11/22"
"Aziz Ansari Live at Madison Square Garden","09/11/22"
"Ozark: Season 1: Book of Ruth","09/11/22"
"Killer Sally: Limited Series: Valentine's Day","09/11/22"
"Pete Davidson Presents: The Best Friends","09/11/22"
"Ozark: Season 1: Tonight We Improvise","09/11/22"
"Ozark: Season 1: My Dripping Sleep","09/11/22"
"Ozark: Season 1: Blue Cat","08/11/22"
"Gabriel Iglesias: Stadium Fluffy","07/11/22"
"Pete Davidson: Alive From New York","07/11/22"
"Ricky Gervais: SuperNature","07/11/22"
"Hasan Minhaj: The King's Jester","06/11/22"
"Black Mirror: Season 2: Be Right Back","06/11/22"
"Black Mirror: Season 2: White Christmas","06/11/22"
"All Quiet on the Western Front","06/11/22"
"Black Mirror: Season 1: Fifteen Million Merits","29/05/22"
"Black Mirror: Season 1: The National Anthem","29/05/22"
"Black Mirror: Season 1: The Entire History of You","29/05/22"
"Black Mirror: Season 5: Striking Vipers","29/05/22"
"In Time","15/05/22"
"Army of Thieves","15/05/22"
"Bullsh*t The Gameshow: Season 1: Love the Way You Lie","14/05/22"
"The Adam Project","13/03/22"
"Formula 1: Drive to Survive: Season 4: Tipping Point","11/03/22"
"Formula 1: Drive to Survive: Season 4: Ace in the Hole","11/03/22"
"Formula 1: Drive to Survive: Season 4: Clash of the Titans","11/03/22"
